;brouette;;;;;;;brouette (1);;;;;;;brouette (2);;;;;;;brouette (3);;;;;;;brouette (4);;;;;;;brouette (5);;;;;;;brouette (6);;;;;;;Cibles non appariées - Cible 1;;;;Cibles non appariées - Cible 2;;;;Cibles non appariées - Cible 3;;;;Cibles non appariées - Cible 4;;;;Cibles non appariées - Cible 5;;;;Cibles non appariées - Cible 6;;;
;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;Detected;TX;TY;TZ;Detected;TX;TY;TZ;Detected;TX;TY;TZ;Detected;TX;TY;TZ;Detected;TX;TY;TZ;Detected
0,000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,273582;-33,463207;2436,095215;1;-63,000973;-22,275173;2433,290039;1;-89,249908;-4,194207;2493,507813;1;-97,436081;-4,114502;2436,121826;1;-76,588219;-4,076759;2434,453613;1;-84,869331;-4,001539;2379,723633;1
0,034000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,277512;-33,470585;2436,100098;1;-63,003220;-22,272072;2433,293945;1;-97,433311;-4,114184;2436,095703;1;-89,246284;-4,200331;2493,486816;1;-84,867264;-4,003093;2379,701172;1;-76,585297;-4,084645;2434,435791;1
0,069000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-97,444107;-4,110283;2436,127686;1;-89,256027;-4,195374;2493,528320;1;-84,864601;-3,996487;2379,673096;1;-76,581467;-4,076942;2434,414307;1;-98,278336;-33,461937;2436,092285;1;-62,989529;-22,272148;2433,281006;1
0,103000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,274033;-33,473305;2436,099854;1;-62,995663;-22,276546;2433,274170;1;-97,440308;-4,114224;2436,124512;1;-89,253723;-4,194021;2493,514160;1;-84,860474;-4,004217;2379,667969;1;-76,578850;-4,079592;2434,398682;1
0,138000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-97,441101;-4,103948;2436,115967;1;-89,251488;-4,193002;2493,526855;1;-84,870499;-4,003290;2379,701416;1;-76,585861;-4,087919;2434,454102;1;-98,282555;-33,468719;2436,092285;1;-62,996895;-22,273046;2433,295410;1
0,172000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,270966;-33,466637;2436,074463;1;-62,993706;-22,267851;2433,286865;1;-89,256927;-4,196661;2493,507568;1;-97,440056;-4,103643;2436,141846;1;-76,590942;-4,083369;2434,434082;1;-84,869011;-3,995051;2379,724609;1
0,207000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-89,251595;-4,192404;2493,530029;1;-97,439590;-4,107988;2436,130371;1;-76,584862;-4,084982;2434,451904;1;-84,867859;-4,004937;2379,710205;1;-98,273041;-33,463299;2436,063721;1;-63,000439;-22,268950;2433,309814;1
0,241000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,280434;-33,474575;2436,111816;1;-62,991993;-22,269278;2433,263672;1;-89,255074;-4,200117;2493,520020;1;-97,444679;-4,114546;2436,108887;1;-76,584145;-4,084578;2434,423096;1;-84,868797;-4,003588;2379,671143;1
0,276000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-97,435707;-4,108002;2436,140381;1;-89,250031;-4,192272;2493,523193;1;-84,867439;-4,007646;2379,735107;1;-76,586815;-4,087612;2434,461670;1;-98,277748;-33,464294;2436,084717;1;-62,998333;-22,266676;2433,267334;1
